haul_id	proportion_name	Autumn_%	North_%	Central_%	South_%	Actual_A_count	Actual_N_count	Actual_C_count	Actual_S_count
haul_0273	0A_15N_42C_43S	0	15	42	43	0	4	13	13
haul_0274	0A_15N_42C_43S	0	15	42	43	0	4	13	13
haul_0275	0A_15N_42C_43S	0	15	42	43	0	4	13	13
haul_0276	0A_15N_42C_43S	0	15	42	43	0	4	13	13
haul_0277	0A_15N_42C_43S	0	15	42	43	0	4	13	13
haul_0278	0A_15N_42C_43S	0	15	42	43	0	4	13	13
haul_0279	0A_15N_42C_43S	0	15	42	43	0	4	13	13
haul_0280	0A_15N_42C_43S	0	15	42	43	0	4	13	13
haul_0281	0A_5N_47C_48S	0	5	47	48	0	2	14	14
haul_0282	0A_5N_47C_48S	0	5	47	48	0	2	14	14
haul_0283	0A_5N_47C_48S	0	5	47	48	0	2	14	14
haul_0284	0A_5N_47C_48S	0	5	47	48	0	2	14	14
haul_0285	0A_5N_47C_48S	0	5	47	48	0	2	14	14
haul_0286	0A_5N_47C_48S	0	5	47	48	0	2	14	14
haul_0287	0A_5N_47C_48S	0	5	47	48	0	2	14	14
haul_0288	0A_5N_47C_48S	0	5	47	48	0	2	14	14
haul_0289	0A_5N_47C_48S	0	5	47	48	0	2	14	14
haul_0290	0A_5N_47C_48S	0	5	47	48	0	2	14	14
haul_0291	0A_0N_50C_50S	0	0	50	50	0	0	15	15
haul_0292	0A_0N_50C_50S	0	0	50	50	0	0	15	15
haul_0293	0A_0N_50C_50S	0	0	50	50	0	0	15	15
haul_0294	0A_0N_50C_50S	0	0	50	50	0	0	15	15
haul_0295	0A_0N_50C_50S	0	0	50	50	0	0	15	15
haul_0296	0A_0N_50C_50S	0	0	50	50	0	0	15	15
haul_0297	0A_0N_50C_50S	0	0	50	50	0	0	15	15
haul_0298	0A_0N_50C_50S	0	0	50	50	0	0	15	15
haul_0299	0A_0N_50C_50S	0	0	50	50	0	0	15	15
haul_0300	0A_0N_50C_50S	0	0	50	50	0	0	15	15
haul_0301	0A_37N_25C_38S	0	37	25	38	0	11	8	11
haul_0302	0A_37N_25C_38S	0	37	25	38	0	11	8	11
haul_0303	0A_37N_25C_38S	0	37	25	38	0	11	8	11
haul_0304	0A_37N_25C_38S	0	37	25	38	0	11	8	11
haul_0305	0A_37N_25C_38S	0	37	25	38	0	11	8	11
haul_0306	0A_37N_25C_38S	0	37	25	38	0	11	8	11
haul_0307	0A_37N_25C_38S	0	37	25	38	0	11	8	11
haul_0308	0A_37N_25C_38S	0	37	25	38	0	11	8	11
haul_0309	0A_37N_25C_38S	0	37	25	38	0	11	8	11
haul_0310	0A_37N_25C_38S	0	37	25	38	0	11	8	11
haul_0311	0A_41N_15C_43S	0	41	15	43	0	12	5	13
haul_0312	0A_41N_15C_43S	0	41	15	43	0	12	5	13
haul_0313	0A_41N_15C_43S	0	41	15	43	0	12	5	13
haul_0314	0A_41N_15C_43S	0	41	15	43	0	12	5	13
haul_0315	0A_41N_15C_43S	0	41	15	43	0	12	5	13
haul_0316	0A_41N_15C_43S	0	41	15	43	0	12	5	13
haul_0317	0A_41N_15C_43S	0	41	15	43	0	12	5	13
haul_0318	0A_41N_15C_43S	0	41	15	43	0	12	5	13
haul_0319	0A_41N_15C_43S	0	41	15	43	0	12	5	13
haul_0320	0A_41N_15C_43S	0	41	15	43	0	12	5	13
haul_0321	0A_47N_5C_48S	0	47	5	48	0	14	2	14
